67,59,39,91,17,25,89,75,29,44
36,77,80,45,57,54,46,40,79,87
86,19,68,59,46,98,71,52,73,25
57,81,24,74,90,14,100,93,11,17
37,100,72,67,19,92,59,87,36,12
38,54,47,26,69,23,40,37,24,70
74,58,40,90,46,10,87,45,57,65
54,70,30,95,100,21,14,75,34,83
60,64,58,34,38,68,41,52,76,93
82,34,53,47,73,25,67,55,44,63
65,87,70,89,26,58,67,17,21,45
87,50,67,84,16,70,93,56,94,44
58,36,75,54,98,56,16,62,21,17
39,14,60,58,91,72,91,71,88,95
63,17,47,12,27,20,62,49,45,69
54,45,86,36,18,68,48,30,49,53
54,11,87,30,52,89,20,60,94,11
27,44,62,76,80,21,69,59,25,100
46,88,47,51,83,74,37,88,34,70
33,90,78,18,50,44,88,69,80,99
88,63,77,33,49,43,28,62,32,56
71,55,25,86,82,33,51,17,63,57
74,11,19,81,42,64,31,18,12,22
99,31,66,30,86,64,64,55,100,26
30,51,72,80,25,48,45,97,42,65
97,91,92,30,88,79,60,42,22,58
82,63,97,77,94,53,71,75,59,48
19,46,62,26,55,32,94,52,90,20
93,99,85,31,25,57,95,80,86,23
15,14,76,73,64,60,44,66,76,35
48,73,43,50,76,57,81,40,86,16
55,62,24,87,38,95,18,61,40,83
81,63,61,35,56,85,82,24,16,88
40,60,49,26,74,92,21,27,66,89
89,52,25,40,29,39,43,49,13,81
15,54,51,60,84,52,27,69,44,44
16,39,86,54,58,65,23,59,81,68
45,51,83,30,80,16,100,52,12,14
74,79,42,23,81,97,61,86,99,59
10,65,59,71,56,24,17,60,59,65
41,29,34,69,72,21,56,70,59,93
99,18,12,48,88,33,59,89,64,60
91,96,54,25,26,55,35,100,99,82
49,87,34,87,78,69,85,61,74,97
43,54,76,23,19,68,80,78,82,39
97,67,84,94,57,26,22,70,97,15
15,40,37,53,32,20,72,78,42,45
59,26,33,66,31,29,24,90,85,35
29,99,37,16,68,65,88,90,46,10
98,78,61,73,43,32,67,13,16,90
30,49,14,13,50,45,92,33,86,61
14,16,88,20,70,84,28,29,40,50
82,58,69,31,44,39,81,39,94,81
38,93,25,16,35,46,60,86,45,13
42,34,58,24,76,10,62,85,28,43
59,97,79,96,10,68,87,66,30,56
39,91,57,67,47,89,82,50,81,24
72,85,89,60,47,90,20,71,39,33
56,62,100,59,15,42,56,42,75,38
25,58,17,99,84,60,34,60,14,39
99,58,84,93,38,11,95,93,26,46
18,100,76,65,94,11,54,24,93,25
35,54,12,68,68,63,83,11,29,41
26,55,38,26,19,15,57,54,12,51
69,19,51,23,53,78,52,75,59,93
97,91,29,43,32,27,72,45,43,77
89,28,19,14,60,40,45,33,28,65
72,41,91,65,70,60,99,10,22,44
26,40,87,94,70,59,15,60,92,71
10,73,56,49,86,81,10,71,38,92
81,48,79,90,76,48,51,75,76,42
63,44,47,25,29,76,72,51,58,39
85,82,60,32,66,10,72,13,16,17
27,63,22,72,95,16,44,15,65,97
80,75,56,63,26,48,20,90,95,14
75,84,38,76,47,99,89,27,32,63
88,60,10,51,70,97,18,56,18,96
55,71,88,58,60,47,64,15,73,49
59,77,85,38,96,88,23,71,14,47
47,52,57,80,42,15,72,44,94,90
82,64,57,10,21,55,66,66,78,24
71,21,27,79,23,13,96,80,76,13
29,89,19,50,66,31,88,77,96,44
19,28,19,15,23,80,42,60,70,56
89,59,95,31,16,95,48,94,40,48
24,52,12,56,81,11,89,41,72,44
99,73,14,81,60,59,32,11,12,56
86,65,84,99,55,94,53,99,92,27
15,56,53,10,94,55,88,61,91,98
41,37,62,43,58,71,41,11,73,78
73,26,22,15,91,79,23,38,61,17
88,32,25,98,31,22,98,16,25,71
54,99,25,46,60,17,48,36,15,50
10,23,42,10,21,25,83,53,79,67
49,58,72,98,14,45,44,40,76,90
74,94,53,73,16,76,31,92,42,79
23,86,10,16,45,64,12,49,96,90
43,12,76,34,73,72,31,100,48,29
55,31,48,42,29,57,77,35,34,58
32,72,44,41,19,73,19,99,17,24
