535	53.5
601	60.1
597	59.7
561	56.1
581	58.1
428	42.8
572	57.2
576	57.6
584	58.4
543	54.3
545	54.5
661	66.1
493	49.3
679	67.9
411	41.1
487	48.7
508	50.8
563	56.3
618	61.8
649	64.9
531	53.1
540	54.0
374	37.4
621	62.1
555	55.5
659	65.9
719	71.9
496	49.6
674	67.4
523	52.3
570	57.0
563	56.3
591	59.1
544	54.4
460	46.0
500	50.0
549	54.9
483	48.3
701	70.1
486	48.6
544	54.4
570	57.0
663	66.3
721	72.1
562	56.2
629	62.9
434	43.4
478	47.8
548	54.8
571	57.1
473	47.3
439	43.9
618	61.8
457	45.7
462	46.2
648	64.8
627	62.7
606	60.6
545	54.5
490	49.0
643	64.3
560	56.0
464	46.4
353	35.3
572	57.2
556	55.6
421	42.1
574	57.4
614	61.4
566	56.6
666	66.6
504	50.4
453	45.3
516	51.6
567	56.7
630	63.0
564	56.4
580	58.0
598	59.8
593	59.3
523	52.3
499	49.9
589	58.9
412	41.2
615	61.5
482	48.2
497	49.7
754	75.4
621	62.1
515	51.5
445	44.5
506	50.6
450	45.0
413	41.3
586	58.6
630	63.0
491	49.1
518	51.8
466	46.6
440	44.0
